dataset_id,author,downloads,likes,created_at,last_modified,tags
zai-org/LongCite-45k,zai-org,750,77,2024-09-02 06:41:56+00:00,2024-10-18 09:59:40+00:00,"task_categories:text-generation,task_categories:question-answering,language:en,language:zh,license:apache-2.0,size_categories:10K<n<100K,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2409.02897,region:us,long context,citation generation,SFT"
zai-org/ImageRewardDB,zai-org,744,47,2023-05-21 15:39:22+00:00,2023-06-21 06:36:29+00:00,"task_categories:text-to-image,language:en,license:apache-2.0,size_categories:100K<n<1M,arxiv:2304.05977,region:us"
voidful/narrativeqa-test-tts,voidful,710,0,2023-08-25 15:29:24+00:00,2023-08-25 19:10:24+00:00,"size_categories:1K<n<10K,format:parquet,modality:audio,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
vwxyzjn/summarize_from_feedback_oai_preprocessing_1708445155,vwxyzjn,708,0,2024-02-20 16:11:01+00:00,2024-02-20 16:11:40+00:00,"size_categories:100K<n<1M,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
voidful/Emilia-llmcodec-EN,voidful,702,0,2026-02-22 04:28:29+00:00,2026-02-22 15:14:23+00:00,region:us
vlm-run/FineVision-vlmbench-mini,vlm-run,670,0,2026-02-08 17:58:30+00:00,2026-02-08 19:08:27+00:00,"license:apache-2.0,size_categories:n<1K,format:parquet,format:optimized-parquet,modality:image,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,vlm,benchmark,multimodal,ocr,document-understanding,visual-question-answering"
wdndev/webnovel-chinese,wdndev,657,42,2024-03-27 16:00:19+00:00,2024-04-04 03:50:32+00:00,"task_categories:text-generation,language:zh,license:apache-2.0,size_categories:100K<n<1M,format:json,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us,llm,pretrain"
zjunlp/OceanGym,zjunlp,638,2,2025-09-30 03:32:26+00:00,2025-10-13 15:22:16+00:00,"task_categories:robotics,language:en,license:mit,size_categories:n<1K,arxiv:2509.26536,region:us,agent,robotics,benchmark,environment,underwater,multi-modal,mllm,large-language-models"
zai-org/ZClawBench,zai-org,619,33,2026-03-18 09:29:01+00:00,2026-03-19 03:18:15+00:00,"task_categories:text-generation,language:en,language:zh,license:mit,size_categories:n<1K,format:parquet,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,code,agent,benchmark,trajectory,evaluation"
zli12321/Auto_Router,zli12321,615,0,2026-03-30 15:27:32+00:00,2026-03-30 15:29:33+00:00,"size_categories:10K<n<100K,format:parquet,format:optimized-parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us"
